plan,region,year,elasticity,conversion_rate,price,customers,revenue,churn_rate,ltv,date,segment,channel,trial_length,features_used
Basic,Europe,2024,0.521,0.1235,21.45,312,6692.4,0.0978,82196.32,2024-06-15,SMB,Direct,14,8
Pro,North America,2023,0.889,0.1789,67.33,178,11983.74,0.0611,235152.36,2023-09-22,Mid-Market,Partner,30,12
Enterprise,APAC,2024,1.234,0.2876,234.56,45,10555.2,0.0264,479090.91,2024-03-11,Enterprise,Direct,30,15
Basic,LATAM,2022,0.643,0.0956,15.99,267,4269.33,0.0856,59844.63,2022-11-08,SMB,Self-Service,7,5
Pro,Europe,2024,1.067,0.2034,45.67,189,8631.63,0.0433,239239.24,2024-01-19,Mid-Market,Direct,14,10
Enterprise,North America,2023,1.123,0.2654,187.99,67,12595.33,0.0377,400507.69,2023-07-04,Enterprise,Partner,30,13
Basic,APAC,2021,0.456,0.1089,28.99,445,12900.55,0.1044,148085.25,2021-02-28,SMB,Direct,7,6
Pro,LATAM,2024,0.778,0.1567,78.45,134,10512.3,0.0722,174639.89,2024-12-03,Mid-Market,Self-Service,14,9
Enterprise,Europe,2022,1.345,0.2345,456.78,23,10505.94,0.0155,813415.48,2022-04-17,Enterprise,Direct,30,14
Basic,North America,2023,0.689,0.1345,19.99,378,7556.22,0.0811,111724.78,2023-05-12,SMB,Partner,14,7
Pro,APAC,2024,0.934,0.2187,89.99,223,20067.77,0.0566,425494.88,2024-08-25,Mid-Market,Direct,30,11
Enterprise,LATAM,2021,1.078,0.1876,345.67,34,11752.78,0.0422,333853.55,2021-10-09,Enterprise,Self-Service,30,12
Basic,Europe,2023,0.567,0.1298,24.99,289,7221.11,0.0933,92762.57,2023-01-14,SMB,Direct,7,8
Pro,North America,2022,0.812,0.1734,56.78,167,9482.26,0.0688,165286.34,2022-08-30,Mid-Market,Partner,14,10
Enterprise,APAC,2023,1.267,0.2934,278.99,56,15623.44,0.0233,803578.11,2023-11-21,Enterprise,Direct,30,15
Basic,LATAM,2024,0.445,0.1087,17.99,334,6008.66,0.1055,68223.22,2024-04-06,SMB,Self-Service,7,4
Pro,Europe,2021,0.723,0.1445,72.34,145,10489.3,0.0777,161920.72,2021-12-18,Mid-Market,Direct,14,9
Enterprise,North America,2024,1.189,0.2789,423.45,78,33029.1,0.0311,1272764.31,2024-07-13,Enterprise,Partner,30,14
Basic,APAC,2022,0.612,0.1156,26.45,398,10527.1,0.0888,142215.09,2022-02-05,SMB,Direct,14,6
Pro,LATAM,2023,0.856,0.1623,63.99,156,9982.44,0.0644,185908.07,2023-03-29,Mid-Market,Self-Service,30,11
Enterprise,Europe,2024,1.423,0.2567,389.99,41,15989.59,0.0077,2489558.44,2024-09-16,Enterprise,Direct,30,13
Basic,North America,2022,0.734,0.1289,22.99,356,8184.44,0.0766,128168.67,2022-06-07,SMB,Partner,7,7
Pro,APAC,2021,0.678,0.1534,47.89,198,9481.22,0.0822,138317.52,2021-05-23,Mid-Market,Direct,14,8
Enterprise,LATAM,2024,1.098,0.2156,234.56,29,6802.24,0.0402,202748.26,2024-11-02,Enterprise,Self-Service,30,12
Basic,Europe,2022,0.489,0.1134,18.99,423,8032.77,0.1011,95299.31,2022-10-14,SMB,Direct,14,5
Pro,North America,2024,0.945,0.1967,81.23,201,16327.23,0.0555,352683.78,2024-01-27,Mid-Market,Partner,30,12
Enterprise,APAC,2022,1.156,0.2345,167.89,63,10577.07,0.0344,368532.27,2022-12-11,Enterprise,Direct,30,14
Basic,LATAM,2023,0.567,0.1045,21.99,278,6113.22,0.0933,78583.45,2023-08-19,SMB,Self-Service,7,6
Pro,Europe,2024,0.789,0.1789,59.99,187,11217.13,0.0711,189224.33,2024-05-08,Mid-Market,Direct,14,10
Enterprise,North America,2021,1.234,0.2234,345.67,89,30764.63,0.0266,1385609.78,2021-09-15,Enterprise,Partner,30,13
Basic,APAC,2023,0.623,0.1234,29.99,401,12025.99,0.0877,164401.71,2023-12-04,SMB,Direct,7,8
Pro,LATAM,2022,0.734,0.1456,55.67,143,7960.81,0.0766,124637.08,2022-03-26,Mid-Market,Self-Service,14,9
Enterprise,Europe,2023,1.345,0.2456,278.99,52,14507.48,0.0155,1122740.65,2023-07-01,Enterprise,Direct,30,15
Basic,North America,2024,0.578,0.1345,25.99,367,9538.33,0.0922,124137.31,2024-02-18,SMB,Partner,14,7
Pro,APAC,2022,0.867,0.1745,67.89,178,12084.42,0.0633,228897.48,2022-11-27,Mid-Market,Direct,30,11
Enterprise,LATAM,2023,1.189,0.1987,456.78,23,10505.94,0.0311,405012.22,2023-04-20,Enterprise,Self-Service,30,12
Basic,Europe,2021,0.445,0.0987,16.99,456,7747.44,0.1055,88090.99,2021-01-13,SMB,Direct,7,4
Pro,North America,2023,0.812,0.1823,74.56,189,14091.84,0.0688,245637.79,2023-10-05,Mid-Market,Partner,14,10
Enterprise,APAC,2024,1.267,0.3089,234.56,67,15725.52,0.0233,809443.77,2024-06-22,Enterprise,Direct,30,15
Basic,LATAM,2022,0.612,0.0945,19.99,334,6676.66,0.0888,90179.28,2022-08-14,SMB,Self-Service,14,6
Pro,Europe,2024,0.923,0.1923,82.34,156,12845.04,0.0577,267046.64,2024-03-17,Mid-Market,Direct,30,12
Enterprise,North America,2022,1.123,0.2456,389.99,78,30419.22,0.0377,966856.23,2022-12-29,Enterprise,Partner,30,14
Basic,APAC,2021,0.534,0.1067,27.99,445,12455.55,0.0966,154611.49,2021-07-08,SMB,Direct,7,8
Pro,LATAM,2024,0.778,0.1634,59.99,134,8038.66,0.0722,133542.36,2024-09-24,Mid-Market,Self-Service,14,9
Enterprise,Europe,2023,1.423,0.2689,456.78,41,18727.98,0.0077,2918701.56,2023-02-11,Enterprise,Direct,30,13
Basic,North America,2024,0.689,0.1456,23.99,378,9066.22,0.0811,134105.67,2024-12-06,SMB,Partner,7,7
Pro,APAC,2023,0.934,0.2134,78.45,223,17494.35,0.0566,370761.66,2023-05-18,Mid-Market,Direct,30,11
Enterprise,LATAM,2022,1.078,0.1734,234.56,34,7974.04,0.0422,226752.13,2022-01-09,Enterprise,Self-Service,30,12
Basic,Europe,2024,0.567,0.1398,21.99,289,6355.11,0.0933,81611.32,2024-08-03,SMB,Direct,14,5
Pro,North America,2021,0.812,0.1567,52.34,167,8740.78,0.0688,152428.78,2021-11-16,Mid-Market,Partner,14,8
Enterprise,APAC,2022,1.267,0.2567,278.99,56,15623.44,0.0233,803578.11,2022-04-28,Enterprise,Direct,30,15
Basic,LATAM,2023,0.445,0.1134,15.99,334,5340.66,0.1055,60742.55,2023-09-13,SMB,Self-Service,7,4
Pro,Europe,2022,0.723,0.1567,69.99,145,10148.55,0.0777,156679.32,2022-07-25,Mid-Market,Direct,14,10
Enterprise,North America,2024,1.189,0.2934,423.45,78,33029.1,0.0311,1272764.31,2024-04-10,Enterprise,Partner,30,14
Basic,APAC,2023,0.612,0.1267,28.99,398,11541.02,0.0888,155791.67,2023-12-22,SMB,Direct,7,6
Pro,LATAM,2021,0.856,0.1345,45.67,156,7124.52,0.0644,132578.63,2021-03-07,Mid-Market,Self-Service,30,9
Enterprise,Europe,2024,1.423,0.2689,389.99,41,15989.59,0.0077,2489558.44,2024-10-19,Enterprise,Direct,30,13
Basic,North America,2023,0.734,0.1398,24.99,356,8896.44,0.0766,139301.57,2023-06-14,SMB,Partner,14,7
Pro,APAC,2024,0.678,0.1823,67.89,198,13441.22,0.0822,195756.69,2024-01-31,Mid-Market,Direct,30,11
Enterprise,LATAM,2021,1.098,0.1756,167.89,29,4868.81,0.0402,145264.68,2021-08-26,Enterprise,Self-Service,30,10
Basic,Europe,2022,0.489,0.1223,20.99,423,8878.77,0.1011,105311.38,2022-05-12,SMB,Direct,7,5
Pro,North America,2024,0.945,0.2067,84.99,201,17082.99,0.0555,368792.43,2024-11-08,Mid-Market,Partner,14,12
Enterprise,APAC,2023,1.156,0.2567,234.56,63,14777.28,0.0344,514863.37,2023-02-24,Enterprise,Direct,30,14
